Date,State,New Confirmed Cases,7-Day Avg,Quarter,Average Fare ($),Adj Average Fare ($),Passengers_2024_Benchmark
2019-12-25,CA,0,55.142857142857146,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-26,CA,193,82.71428571428571,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-27,CA,75,93.42857142857144,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-28,CA,0,81.85714285714286,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-29,CA,112,54.285714285714285,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-30,CA,29,58.42857142857143,Q4_2019,363.15375,445.6366666666667,1284083
2019-12-31,CA,203,87.42857142857143,Q4_2019,363.15375,445.6366666666667,1284083
2019-10-01,FL,131,131.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-02,FL,47,89.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-03,FL,0,59.333333333333336,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-04,FL,48,56.5,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-05,FL,224,90.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-06,FL,0,75.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-07,FL,36,69.42857142857143,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-08,FL,0,50.71428571428572,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-09,FL,249,79.57142857142857,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-10,FL,0,79.57142857142857,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-11,FL,0,72.71428571428571,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-12,FL,85,52.85714285714285,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-13,FL,323,99.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-14,FL,0,93.85714285714286,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-15,FL,0,93.85714285714286,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-16,FL,386,113.42857142857144,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-17,FL,0,113.42857142857144,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-18,FL,0,113.42857142857144,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-19,FL,98,115.28571428571428,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-20,FL,0,69.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-21,FL,0,69.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-22,FL,151,90.71428571428572,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-23,FL,58,43.85714285714285,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-24,FL,0,43.85714285714285,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-25,FL,0,43.85714285714285,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-26,FL,184,56.142857142857146,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-27,FL,140,76.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-28,FL,0,76.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-29,FL,379,108.71428571428572,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-30,FL,0,100.42857142857144,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-31,FL,0,100.42857142857144,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-01,FL,0,100.42857142857144,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-02,FL,0,74.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-03,FL,58,62.42857142857143,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-04,FL,0,62.42857142857143,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-05,FL,80,19.714285714285715,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-06,FL,0,19.714285714285715,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-07,FL,298,62.285714285714285,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-08,FL,0,62.285714285714285,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-09,FL,233,95.57142857142856,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-10,FL,78,98.42857142857144,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-11,FL,101,112.85714285714286,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-12,FL,123,119.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-13,FL,99,133.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-14,FL,138,110.28571428571428,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-15,FL,275,149.57142857142858,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-16,FL,49,123.28571428571428,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-17,FL,151,133.71428571428572,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-18,FL,0,119.28571428571428,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-19,FL,298,144.28571428571428,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-20,FL,0,130.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-21,FL,370,163.28571428571428,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-22,FL,1,124.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-23,FL,0,117.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-24,FL,35,100.57142857142856,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-25,FL,0,100.57142857142856,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-26,FL,178,83.42857142857143,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-27,FL,0,83.42857142857143,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-28,FL,0,30.571428571428573,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-29,FL,0,30.428571428571427,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-11-30,FL,0,30.428571428571427,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-01,FL,0,25.428571428571427,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-02,FL,0,25.428571428571427,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-03,FL,162,23.142857142857142,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-04,FL,167,47.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-05,FL,95,60.57142857142857,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-06,FL,0,60.57142857142857,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-07,FL,0,60.57142857142857,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-08,FL,9,61.85714285714285,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-09,FL,0,61.85714285714285,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-10,FL,310,83.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-11,FL,185,85.57142857142857,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-12,FL,0,72.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-13,FL,15,74.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-14,FL,51,81.42857142857143,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-15,FL,0,80.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-16,FL,0,80.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-17,FL,0,35.857142857142854,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-18,FL,0,9.428571428571429,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-19,FL,0,9.428571428571429,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-20,FL,369,60.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-21,FL,138,72.42857142857143,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-22,FL,0,72.42857142857143,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-23,FL,124,90.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-24,FL,289,131.42857142857142,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-25,FL,194,159.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-26,FL,21,162.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-27,FL,0,109.42857142857144,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-28,FL,149,111.0,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-29,FL,88,123.57142857142856,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-30,FL,189,132.85714285714286,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-12-31,FL,137,111.14285714285714,Q4_2019,334.70105263157893,410.7215789473684,845562
2019-10-01,GA,0,0.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-02,GA,176,88.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-03,GA,190,122.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-04,GA,100,116.5,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-05,GA,246,142.4,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-06,GA,0,118.66666666666669,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-07,GA,343,150.71428571428572,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-08,GA,314,195.57142857142856,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-09,GA,157,192.8571428571429,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-10,GA,366,218.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-11,GA,0,203.7142857142857,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-12,GA,0,168.57142857142858,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-13,GA,0,168.57142857142858,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-14,GA,154,141.57142857142858,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-15,GA,0,96.71428571428572,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-16,GA,161,97.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-17,GA,284,85.57142857142857,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-18,GA,149,106.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-19,GA,66,116.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-20,GA,0,116.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-21,GA,0,94.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-22,GA,259,131.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-23,GA,165,131.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-24,GA,2,91.57142857142856,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-25,GA,0,70.28571428571429,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-26,GA,0,60.85714285714285,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-27,GA,0,60.85714285714285,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-28,GA,392,116.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-29,GA,0,79.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-30,GA,47,63.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-31,GA,211,92.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-01,GA,0,92.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-02,GA,46,99.42857142857144,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-03,GA,197,127.57142857142856,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-04,GA,12,73.28571428571429,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-05,GA,583,156.57142857142858,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-06,GA,0,149.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-07,GA,221,151.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-08,GA,0,151.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-09,GA,164,168.14285714285714,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-10,GA,98,154.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-11,GA,0,152.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-12,GA,55,76.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-13,GA,0,76.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-14,GA,130,63.85714285714285,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-15,GA,69,73.71428571428571,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-16,GA,137,69.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-17,GA,221,87.42857142857143,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-18,GA,83,99.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-19,GA,39,97.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-20,GA,0,97.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-21,GA,0,78.42857142857143,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-22,GA,247,103.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-23,GA,297,126.71428571428572,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-24,GA,0,95.14285714285714,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-25,GA,19,86.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-26,GA,0,80.42857142857143,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-27,GA,244,115.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-28,GA,143,135.71428571428572,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-29,GA,398,157.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-11-30,GA,0,114.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-01,GA,0,114.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-02,GA,56,120.14285714285714,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-03,GA,139,140.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-04,GA,0,105.14285714285714,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-05,GA,0,84.71428571428571,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-06,GA,186,54.42857142857143,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-07,GA,154,76.42857142857143,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-08,GA,0,76.42857142857143,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-09,GA,281,108.57142857142856,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-10,GA,244,123.57142857142856,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-11,GA,36,128.71428571428572,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-12,GA,25,132.28571428571428,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-13,GA,120,122.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-14,GA,0,100.85714285714286,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-15,GA,16,103.14285714285714,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-16,GA,0,63.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-17,GA,185,54.57142857142857,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-18,GA,0,49.42857142857143,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-19,GA,310,90.14285714285714,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-20,GA,0,73.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-21,GA,0,73.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-22,GA,0,70.71428571428571,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-23,GA,0,70.71428571428571,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-24,GA,293,86.14285714285714,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-25,GA,0,86.14285714285714,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-26,GA,265,79.71428571428571,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-27,GA,77,90.71428571428572,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-28,GA,0,90.71428571428572,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-29,GA,0,90.71428571428572,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-30,GA,345,140.0,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-12-31,GA,0,98.14285714285714,Q4_2019,481.30000000000007,590.6157142857144,1012618
2019-10-01,IL,200,200.0,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-02,IL,67,133.5,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-03,IL,0,89.0,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-04,IL,82,87.25,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-05,IL,0,69.8,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-06,IL,31,63.333333333333336,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-07,IL,3,54.71428571428572,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-08,IL,0,26.142857142857142,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-09,IL,0,16.571428571428573,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-10,IL,0,16.571428571428573,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-11,IL,0,4.857142857142857,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-12,IL,28,8.857142857142858,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-13,IL,41,10.285714285714286,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-14,IL,0,9.857142857142858,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-15,IL,263,47.42857142857143,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-16,IL,0,47.42857142857143,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-17,IL,203,76.42857142857143,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-18,IL,95,90.0,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-19,IL,0,86.0,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-20,IL,365,132.28571428571428,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-21,IL,0,132.28571428571428,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-22,IL,193,122.28571428571428,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-23,IL,210,152.28571428571428,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-24,IL,0,123.28571428571428,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-25,IL,288,150.85714285714286,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-26,IL,0,150.85714285714286,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-27,IL,67,108.28571428571428,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-28,IL,62,117.14285714285714,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-29,IL,0,89.57142857142857,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-30,IL,172,84.14285714285714,Q4_2019,368.7091666666667,452.4533333333333,1089038
2019-10-31,IL,168,108.14285714285714,Q4_2019,368.7091666666667,452.4533333333333,1089038
